,Location,Hot Water,Potable Water,Heating Facilities Required,Temperature Requirements,Asbestos Material,Use of Lead Paint Prohibited,Safe Condition,Smoke Detectors and Carbon Monoxide Alarms,Total
1,dorchester,29.0,3.0,41.0,32.0,0.0,1.0,7.0,181.0,294.0
0,boston,30.0,1.0,45.0,40.0,0.0,0.0,2.0,121.0,239.0
2,roxbury,15.0,0.0,17.0,12.0,0.0,0.0,1.0,43.0,88.0
4,mattapan,10.0,0.0,10.0,5.0,1.0,0.0,4.0,33.0,63.0
3,jamaicaplain,10.0,1.0,14.0,7.0,0.0,0.0,3.0,27.0,62.0
18,southboston,2.0,0.0,21.0,9.0,0.0,0.0,1.0,26.0,59.0
5,hydepark,6.0,1.0,2.0,1.0,0.0,1.0,3.0,38.0,52.0
8,brookline,4.0,0.0,3.0,7.0,0.0,0.0,2.0,23.0,39.0
6,eastboston,5.0,0.0,8.0,2.0,0.0,0.0,3.0,20.0,38.0
11,milton,3.0,1.0,6.0,6.0,0.0,0.0,2.0,16.0,34.0
16,brighton,2.0,0.0,3.0,8.0,0.0,0.0,0.0,19.0,32.0
33,quincy,1.0,0.0,4.0,4.0,0.0,0.0,3.0,19.0,31.0
7,roslindale,4.0,0.0,3.0,5.0,0.0,0.0,1.0,17.0,30.0
9,randolph,3.0,1.0,3.0,1.0,0.0,0.0,0.0,20.0,28.0
36,allston,1.0,0.0,2.0,5.0,0.0,0.0,1.0,14.0,23.0
29,dedham,1.0,0.0,2.0,1.0,0.0,0.0,0.0,13.0,17.0
15,canton,2.0,0.0,3.0,1.0,0.0,0.0,1.0,8.0,15.0
35,newton,1.0,0.0,1.0,1.0,0.0,0.0,1.0,8.0,12.0
41,braintree,0.0,0.0,4.0,2.0,0.0,0.0,0.0,3.0,9.0
45,chestnuthill,0.0,0.0,1.0,2.0,0.0,0.0,2.0,3.0,8.0
37,brockton,1.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,8.0
71,wellesley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
27,revere,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,8.0
40,chelsea,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,7.0
30,charlestown,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,7.0
43,woburn,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,7.0
72,westroxbury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
28,stoughton,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,6.0
24,medford,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0
38,southeaston,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0
52,nan,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0
73,lexington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
42,sudbury,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0
13,vienna,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
39,everett,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
75,millis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
31,cambridge,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
74,pittsfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
61,lewisville,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0
14,winchester,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
77,kingston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
76,newyork,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
80,walpole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
57,norwell,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0
60,winthrop,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0
64,melrose,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
78,belmont,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
79,rockland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
12,norwood,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
81,hingham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
26,sharon,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0
10,waban,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
17,silverspring,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
19,andover,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
23,franklin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
86,middleborough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
67,nedham,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
87,newtoncenter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
82,georgetown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
88,malden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
89,sboston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
90,burlington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
85,hull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
84,winterpark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
83,salem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
70,fortmill,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
68,cataumet,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
63,irvine,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
25,cumberland,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
49,manchester,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
20,tauton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
21,squantum,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
22,arlington,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
32,waltham,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
34,springfield,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
44,weston,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
46,northdartmouth,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
48,holbrook,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
47,henderson,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
53,beverly,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
54,wintergarden,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
55,bedford,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
56,fallriver,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
58,weymouth,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
51,minneapolis,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
59,wayland,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
62,northandover,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
110,wilmington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
113,redhook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
115,providence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
114,auburndale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
111,foxboro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
112,wellesleyhills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
109,watertown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
117,ipswich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
116,sagamorebeach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
66,westwood,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
118,saugus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
119,medfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
120,jamicaplain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
121,northeaston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
122,mclean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
107,southgrafton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
123,marblehead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
124,westborough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
108,eboston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
97,durham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
106,reading,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
96,dochester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
65,newburgpark,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
50,avon,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
91,villarica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
92,stamford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
93,needham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
94,framingham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
95,pembroke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
69,barnstable,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
105,tamarac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
98,charlotte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
99,northprovidence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
100,duxbury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
101,soouthboston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
102,dorchster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
103,highlandbeach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
104,knghtdale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
125,mansfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
